Author,Year,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,AEType1
Paz-Ares,2018,3,275,278,2,278,280,1.510791,0.2543914,8.972356,TEAE
Wakelee,2024,15,381,396,22,377,399,0.6869835,0.3617339,1.304678,TEAE
Kelley,2023,8,521,529,9,525,534,0.8972905,0.3488391,2.308028,TEAE
Spicer,2024,1,395,396,1,398,399,1.007576,0.06324,16.05334,TEAE
Petrylak,2025,7,507,514,14,500,514,0.5,0.2034824,1.228607,TRAE
Machiels,2024,149,249,398,115,283,398,1.295652,1.0611,1.582051,TEAE
Wang,2022,10,220,230,4,228,232,2.521739,0.8023818,7.925365,TRAE
Wu,2024,60,166,226,47,172,219,1.237055,0.88624,1.726739,TEAE
Emens,2020,28,104,132,10,58,68,1.442424,0.7454269,2.791136,TEAE
Ferris,2016,26,210,236,9,102,111,1.358757,0.6589493,2.801764,TRAE
Herbst,2016,19,663,682,15,294,309,0.5739003,0.2955851,1.11427,TEAE
Galsky,2020,2,53,55,4,48,52,0.4727273,0.09037672,2.472662,TEAE
Kwon,2014,76,317,393,26,370,396,2.94539,1.929699,4.495688,TEAE
Powles_Durva,2020,3,342,345,0,313,313,3.631124,0.4079995,32.31636,TRAE
Powles_Durva+Treme,2020,2,338,340,0,313,313,2.771261,0.2897544,26.50481,TRAE
West,2019,165,308,473,46,186,232,1.759353,1.321,2.343167,TEAE
Zimmer,2020,1,55,56,0,51,51,1.827586,0.1705999,19.57839,TEAE
Zimmer_Nivo+IPI,2020,1,54,55,0,51,51,1.859649,0.1736354,19.91699,TEAE
Eng_Ate+TKI,2019,11,168,179,2,78,80,2.458101,0.5576422,10.83537,TEAE
Eng_Ate,2019,1,89,90,2,78,80,0.4444444,0.04107061,4.809543,TEAE
Fehrenbacher,2016,1,141,142,1,135,136,0.957747,0.060505,15.1605,TRAE
Reck,2016,2,476,478,2,474,476,0.9958159,0.1408472,7.040603,TRAE
Rini,2019,0,429,429,3,422,425,0.2476798,0.02779568,2.207008,TEAE
Socinski,2018,14,379,393,7,387,394,2.005089,0.8180837,4.914389,TRAE
